Sample,Index,File,Origin,URL,Notes
ant,0,116a3ant-0.wav,Reference Library of Digitized Insect Sounds,https://www.ars.usda.gov/ARSUserFiles/3559/soundlibrary.html,G.1a. General movement and stridulation sounds
ant,1,116a3ant-1.wav,Reference Library of Digitized Insect Sounds,https://www.ars.usda.gov/ARSUserFiles/3559/soundlibrary.html,G.1a. General movement and stridulation sounds
bz,0,qf241103-seg130s-0.wav,Reference Library of Digitized Insect Sounds,https://www.ars.usda.gov/ARSUserFiles/3559/soundlibrary.html,F.3. Bactrocera tyroni (Queensland fruit fly) adult male calling song
bz,1,qf241103-seg130s-1.wav,Reference Library of Digitized Insect Sounds,https://www.ars.usda.gov/ARSUserFiles/3559/soundlibrary.html,F.3. Bactrocera tyroni (Queensland fruit fly) adult male calling song
bz,2,qf241103-seg130s-2.wav,Reference Library of Digitized Insect Sounds,https://www.ars.usda.gov/ARSUserFiles/3559/soundlibrary.html,F.3. Bactrocera tyroni (Queensland fruit fly) adult male calling song
bz,3,qf241103-seg130s-3.wav,Reference Library of Digitized Insect Sounds,https://www.ars.usda.gov/ARSUserFiles/3559/soundlibrary.html,F.3. Bactrocera tyroni (Queensland fruit fly) adult male calling song
bzl,0,qf241103-seg130s-0l.wav,Reference Library of Digitized Insect Sounds,https://www.ars.usda.gov/ARSUserFiles/3559/soundlibrary.html,F.3. Bactrocera tyroni (Queensland fruit fly) adult male calling song
bzl,1,qf241103-seg130s-1l.wav,Reference Library of Digitized Insect Sounds,https://www.ars.usda.gov/ARSUserFiles/3559/soundlibrary.html,F.3. Bactrocera tyroni (Queensland fruit fly) adult male calling song
cymb,0,Crash Cymbal 19.wav,SampleRadar: 293 free trance samples,http://www.musicradar.com/news/tech/sampleradar-293-free-trance-samples-223498,Drums -> Cymbals - Convert to 24 Bit
dubb,0,DS_Bass05_A#2.wav,Computer Music magazine (special issue 68),,Dubstep -> Groove Criminals -> GRV Synth_n_Bass -> Dubstep_Bass05
dubb,1,DS_Bass05_A2.wav,Computer Music magazine (special issue 68),,Dubstep -> Groove Criminals -> GRV Synth_n_Bass -> Dubstep_Bass05
ff,0,cffcall2-0.wav,Reference Library of Digitized Insect Sounds,https://www.ars.usda.gov/ARSUserFiles/3559/soundlibrary.html,F.2. Anastrepha suspensa (Caribbean fruit fly) adult male calling song
